    1| SEPARATOR | <                                                 | 0     |
    1| KEYWORD   | html                                              | 0     |
    1| SEPARATOR | >                                                 | 1     |
    2| SEPARATOR | <                                                 | 0     |
    2| KEYWORD   | head                                              | 1     |
    2| SEPARATOR | >                                                 | 1     |
    3| SEPARATOR | <                                                 | 0     |
    3| KEYWORD   | meta                                              | 3     |
    3| ID        | charset                                           | NONE  |
    3| SEPARATOR | =                                                 | 2     |
    3| STRING    | 'utf-8'                                           | NONE  |
    3| SEPARATOR | >                                                 | 1     |
    4| SEPARATOR | <                                                 | 0     |
    4| KEYWORD   | title                                             | 2     |
    4| SEPARATOR | >                                                 | 1     |
    4| STRING    | 'Лексический анализатор'                          | NONE  |
    4| SEPARATOR | <                                                 | 0     |
    4| SEPARATOR | /                                                 | 3     |
    4| KEYWORD   | title                                             | 2     |
    4| SEPARATOR | >                                                 | 1     |
    5| SEPARATOR | <                                                 | 0     |
    5| SEPARATOR | /                                                 | 3     |
    5| KEYWORD   | head                                              | 1     |
    5| SEPARATOR | >                                                 | 1     |
    6| SEPARATOR | <                                                 | 0     |
    6| KEYWORD   | body                                              | 7     |
    6| ID        | background                                        | NONE  |
    6| SEPARATOR | =                                                 | 2     |
    6| COLOR     | #ff0000                                           | NONE  |
    6| SEPARATOR | >                                                 | 1     |
    7| SEPARATOR | <                                                 | 0     |
    7| KEYWORD   | h1                                                | 11    |
    7| SEPARATOR | >                                                 | 1     |
    7| STRING    | 'Лексический анализатор'                          | NONE  |
    7| SEPARATOR | <                                                 | 0     |
    7| SEPARATOR | /                                                 | 3     |
    7| KEYWORD   | h1                                                | 11    |
    7| SEPARATOR | >                                                 | 1     |
    8| SEPARATOR | <                                                 | 0     |
    8| KEYWORD   | img                                               | 8     |
    8| ID        | src                                               | NONE  |
    8| SEPARATOR | =                                                 | 2     |
    8| STRING    | '../img/lex.png'                                  | NONE  |
    8| SEPARATOR | >                                                 | 1     |
    9| SEPARATOR | <                                                 | 0     |
    9| KEYWORD   | h2                                                | 12    |
    9| STRING    | 'qwerty'                                          | NONE  |
    9| SEPARATOR | >                                                 | 1     |
    9| STRING    | 'Лексический анализатор'                          | NONE  |
    9| SEPARATOR | <                                                 | 0     |
    9| SEPARATOR | /                                                 | 3     |
    9| KEYWORD   | h2                                                | 12    |
    9| SEPARATOR | >                                                 | 1     |
   10| SEPARATOR | <                                                 | 0     |
   10| KEYWORD   | br                                                | 9     |
   10| SEPARATOR | >                                                 | 1     |
   11| SEPARATOR | <                                                 | 0     |
   11| KEYWORD   | h3                                                | 13    |
   11| ID        | font-size                                         | NONE  |
   11| SEPARATOR | =                                                 | 2     |
   11| INT       | 20                                                | NONE  |
   11| SEPARATOR | >                                                 | 1     |
   11| STRING    | 'Лексический анализатор'                          | NONE  |
   11| SEPARATOR | <                                                 | 0     |
   11| SEPARATOR | /                                                 | 3     |
   11| KEYWORD   | h3                                                | 13    |
   11| SEPARATOR | >                                                 | 1     |
   12| SEPARATOR | <                                                 | 0     |
   12| KEYWORD   | p                                                 | 10    |
   12| ID        | font-size                                         | NONE  |
   12| SEPARATOR | =                                                 | 2     |
   12| INT       | 16                                                | NONE  |
   12| ID        | color                                             | NONE  |
   12| SEPARATOR | =                                                 | 2     |
   12| COLOR     | #ffff00                                           | NONE  |
   12| SEPARATOR | >                                                 | 1     |
   12| STRING    | 'Лексический анализатор'                          | NONE  |
   12| SEPARATOR | <                                                 | 0     |
   12| SEPARATOR | /                                                 | 3     |
   12| KEYWORD   | p                                                 | 10    |
   12| SEPARATOR | >                                                 | 1     |
   13| SEPARATOR | <                                                 | 0     |
   13| SEPARATOR | /                                                 | 3     |
   13| KEYWORD   | body                                              | 7     |
   13| SEPARATOR | >                                                 | 1     |
   14| SEPARATOR | <                                                 | 0     |
   14| SEPARATOR | /                                                 | 3     |
   14| KEYWORD   | html                                              | 0     |
   14| SEPARATOR | >                                                 | 1     |
